OBCINA_TIP;Leto;Stevilo.gradbenih.dovoljenj
Cerknica_Nestanovanjske stavbe;2016;43
Cerknica_Nestanovanjske stavbe;2017;39
Cerknica_Nestanovanjske stavbe;2018;34
Cerknica_Nestanovanjske stavbe;2019;18
Cerknica_Nestanovanjske stavbe;2020;17
Cerkno_Stanovanjske stavbe;2007;5
Cerkno_Stanovanjske stavbe;2008;11
Cerkno_Stanovanjske stavbe;2009;6
Cerkno_Stanovanjske stavbe;2010;1
Cerkno_Stanovanjske stavbe;2011;3
Cerkno_Stanovanjske stavbe;2012;5
Cerkno_Stanovanjske stavbe;2013;13
Cerkno_Stanovanjske stavbe;2014;13
Cerkno_Stanovanjske stavbe;2015;10
Cerkno_Stanovanjske stavbe;2016;4
Cerkno_Stanovanjske stavbe;2017;5
Cerkno_Stanovanjske stavbe;2018;8
Cerkno_Stanovanjske stavbe;2019;5
Cerkno_Stanovanjske stavbe;2020;3
Cerkno_Nestanovanjske stavbe;2007;4
Cerkno_Nestanovanjske stavbe;2008;7
Cerkno_Nestanovanjske stavbe;2009;2
Cerkno_Nestanovanjske stavbe;2010;1
Cerkno_Nestanovanjske stavbe;2011;0
Cerkno_Nestanovanjske stavbe;2012;3
Cerkno_Nestanovanjske stavbe;2013;3
Cerkno_Nestanovanjske stavbe;2014;6
Cerkno_Nestanovanjske stavbe;2015;9
Cerkno_Nestanovanjske stavbe;2016;17
Cerkno_Nestanovanjske stavbe;2017;21
Cerkno_Nestanovanjske stavbe;2018;11
Cerkno_Nestanovanjske stavbe;2019;12
Cerkno_Nestanovanjske stavbe;2020;10
Cerkvenjak_Stanovanjske stavbe;2007;8
Cerkvenjak_Stanovanjske stavbe;2008;11
Cerkvenjak_Stanovanjske stavbe;2009;12
Cerkvenjak_Stanovanjske stavbe;2010;11
Cerkvenjak_Stanovanjske stavbe;2011;4
Cerkvenjak_Stanovanjske stavbe;2012;4
Cerkvenjak_Stanovanjske stavbe;2013;8
