"OBÈINE";"TIP.STAVBE";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Pesnica";"Nestanovanjske stavbe";8;4;7;4;1;2;4;4;3;9;5;12;8;6
"Piran/Pirano";"Stanovanjske stavbe";41;26;17;15;19;17;12;14;17;16;9;13;13;3
"Piran/Pirano";"Nestanovanjske stavbe";16;5;2;2;0;2;2;1;4;5;2;4;5;0
"Pivka";"Stanovanjske stavbe";18;26;13;14;15;13;7;4;7;8;10;3;5;5
"Pivka";"Nestanovanjske stavbe";4;3;3;5;6;9;9;2;20;15;15;15;22;27
"Podèetrtek";"Stanovanjske stavbe";11;21;17;27;8;23;4;6;9;8;8;17;7;6
"Podèetrtek";"Nestanovanjske stavbe";9;11;8;12;6;8;5;4;18;27;24;24;12;12
"Podlehnik";"Stanovanjske stavbe";2;1;1;1;1;1;4;3;16;4;4;2;2;3
"Podlehnik";"Nestanovanjske stavbe";1;1;0;0;0;0;0;0;4;8;5;0;0;2
"Podvelka";"Stanovanjske stavbe";5;3;2;2;3;2;0;1;0;2;1;1;0;1
"Podvelka";"Nestanovanjske stavbe";2;1;0;4;1;1;3;2;0;10;14;3;1;4
"Poljèane";"Stanovanjske stavbe";16;12;11;11;8;4;5;2;5;2;6;11;6;4
"Poljèane";"Nestanovanjske stavbe";5;6;6;3;2;4;2;3;13;11;8;13;9;22
"Polzela";"Stanovanjske stavbe";44;22;14;10;10;9;12;10;10;10;32;20;8;16
"Polzela";"Nestanovanjske stavbe";3;4;2;1;4;0;1;3;3;1;3;1;11;20
"Postojna";"Stanovanjske stavbe";43;35;54;46;18;15;17;14;22;16;18;13;10;13
"Postojna";"Nestanovanjske stavbe";12;13;12;12;8;3;7;12;43;44;47;24;30;26
"Prebold";"Stanovanjske stavbe";15;18;7;8;6;5;7;9;7;10;11;13;9;15
"Prebold";"Nestanovanjske stavbe";3;1;1;2;0;2;2;4;0;2;4;1;9;5
"Preddvor";"Stanovanjske stavbe";9;10;10;6;4;4;2;7;13;15;9;6;12;8
"Preddvor";"Nestanovanjske stavbe";3;1;0;1;0;1;4;1;0;1;0;1;1;0
"Prevalje";"Stanovanjske stavbe";7;12;6;7;6;2;2;14;5;11;7;6;10;6
"Prevalje";"Nestanovanjske stavbe";4;4;2;4;4;2;3;8;2;6;3;1;4;3
"Ptuj";"Stanovanjske stavbe";26;25;14;15;12;13;14;26;32;46;48;55;39;44
"Ptuj";"Nestanovanjske stavbe";10;7;1;4;7;4;4;4;9;63;28;22;23;14
"Puconci";"Stanovanjske stavbe";20;14;10;15;6;7;9;7;8;14;13;22;15;13
"Puconci";"Nestanovanjske stavbe";6;6;2;4;5;3;6;6;19;29;25;25;25;13
"Raèe - Fram";"Stanovanjske stavbe";42;36;35;24;105;19;23;12;13;17;44;40;23;39
"Raèe - Fram";"Nestanovanjske stavbe";12;2;2;1;4;5;5;8;3;13;22;24;26;35
"Radeèe";"Stanovanjske stavbe";6;3;5;5;4;8;4;2;1;3;3;3;2;3
"Radeèe";"Nestanovanjske stavbe";3;2;2;5;4;2;0;0;2;8;6;8;13;4
"Radenci";"Stanovanjske stavbe";8;10;16;17;4;4;6;6;10;10;5;16;4;6
"Radenci";"Nestanovanjske stavbe";2;4;3;2;3;1;3;5;20;36;34;24;25;31
"Radlje ob Dravi";"Stanovanjske stavbe";13;11;16;12;5;14;9;10;2;3;8;12;9;7
"Radlje ob Dravi";"Nestanovanjske stavbe";8;8;9;10;6;7;6;6;2;36;26;21;15;16
