"OBÈINE";"TIP.STAVBE";"Leto";"Število.gradbenih.dovoljenj"
"Cerklje na Gorenjskem";"Stanovanjske stavbe";"2010";10
"Cerklje na Gorenjskem";"Stanovanjske stavbe";"2011";12
"Cerklje na Gorenjskem";"Stanovanjske stavbe";"2012";7
"Cerklje na Gorenjskem";"Stanovanjske stavbe";"2013";13
"Cerklje na Gorenjskem";"Stanovanjske stavbe";"2014";7
"Cerklje na Gorenjskem";"Stanovanjske stavbe";"2015";18
"Cerklje na Gorenjskem";"Stanovanjske stavbe";"2016";11
"Cerklje na Gorenjskem";"Stanovanjske stavbe";"2017";20
"Cerklje na Gorenjskem";"Stanovanjske stavbe";"2018";14
"Cerklje na Gorenjskem";"Stanovanjske stavbe";"2019";16
"Cerklje na Gorenjskem";"Stanovanjske stavbe";"2020";11
"Cerklje na Gorenjskem";"Nestanovanjske stavbe";"2007";6
"Cerklje na Gorenjskem";"Nestanovanjske stavbe";"2008";4
"Cerklje na Gorenjskem";"Nestanovanjske stavbe";"2009";3
"Cerklje na Gorenjskem";"Nestanovanjske stavbe";"2010";4
"Cerklje na Gorenjskem";"Nestanovanjske stavbe";"2011";4
"Cerklje na Gorenjskem";"Nestanovanjske stavbe";"2012";1
"Cerklje na Gorenjskem";"Nestanovanjske stavbe";"2013";4
"Cerklje na Gorenjskem";"Nestanovanjske stavbe";"2014";1
"Cerklje na Gorenjskem";"Nestanovanjske stavbe";"2015";3
"Cerklje na Gorenjskem";"Nestanovanjske stavbe";"2016";6
"Cerklje na Gorenjskem";"Nestanovanjske stavbe";"2017";2
"Cerklje na Gorenjskem";"Nestanovanjske stavbe";"2018";11
"Cerklje na Gorenjskem";"Nestanovanjske stavbe";"2019";8
